name,AB_CFS,BN_CFS,DS_CFS,DT_CFS,HT_CFS,Ibk_CFS,J48_CFS,Jrip_CFS,LMT_CFS,LOG_CFS,LB_CFS,MLP_CFS,NB_CFS,ONE_CFS,PART_CFS,RC_CFS,RF_CFS,RS_CFS,RT_CFS,REP_CFS,SGD_CFS,SL_CFS,SVM_CFS,STK_CFS,VOTE_CFS,VP_CFS,ZERO_CFS
analcatdata_gsssexsurvey.arff,0.437,0.5600429,0.5586539,0.5253204,0.4264,0.4259,0.4969,0.5068,0,0.4146,0.5590013,0.4478,0.4266,0.5669871,0.5669871,0.5517096,0.4251,0.5086538,0.5517096,0.5164,0.5165,0.5419871,0.5308,0.5,0.5,0.559375,0.5
analcatdata_halloffame.arff,0.9506,0.953579,0.8516195,0.94366,0.9488,0.7962,0.8208,0.7826,0,0.9527,0.946291,0.8936,0.949,0.6932951,0.8801289,0.8882195,0.9466,0.9483487,0.7745925,0.8925,0.7707,0.9547688,0.7498,0.5,0.5,0.5314103,0.5
analcatdata_lawsuit.arff,0.9657,0.9855417,0.9544167,0.9865417,0.9847,0.9596,0.946,0.9426,0,0.9918,0.9907083,0.9921,0.9828,0.7794167,0.9688334,0.973,0.9698,0.9834167,0.973,0.9433,0.8117,0.9959167,0.5526,0.5,0.5,0.4958333,0.5
analcatdata_marketing.arff,0.5087,0.507072,0.5239861,0.4759874,0.4762,0.5288,0.5084,0.52,0,0.5208,0.4932323,0.5237,0.5076,0.4844622,0.5745909,0.5310313,0.5551,0.5138194,0.5286457,0.4617,0.5274,0.4988864,0.5133,0.5,0.5,0.4980675,0.5
analcatdata_michiganacc.arff,0.8151,0.8120833,0.6225001,0.73625,0.816,0.6618,0.624,0.6878,0,0.7939,0.8183334,0.7743,0.8156,0.7350001,0.6783335,0.7095833,0.7608,0.7787499,0.6583333,0.5738,0.7167,0.7979167,0.725,0.5,0.5,0.7058333,0.5
analcatdata_neavote.arff,0.2788,0,0,0,0.3556,0.2949,0.3387,0.3387,0,0.3187,0,0.5346,0.2926,0,0,0,0.3548,0,0,0.3387,0.5,0,0.5,0,0,0,0
analcatdata_reviewer.arff,0.488,0.5,0.5,0.5,0.488,0.488,0.488,0.488,0,0.488,0.5,0.4931,0.488,0.5,0.5,0.5,0.4908,0.5,0.5,0.488,0.5,0.5,0.5,0.5,0.5,0.5,0.5
analcatdata_seropositive.arff,0.9754,0.9080556,0.8308333,0.8363888,0.9618,0.9601,0.9295,0.9393,0,0.9724,0.9733333,0.9446,0.9613,0.8440277,0.9184722,0.9070832,0.9741,0.9669444,0.9070832,0.9328,0.9014,0.9736112,0.8529,0.5,0.5,0.9244443,0.5
analcatdata_supreme.arff,0.9979,0.9907687,0.9859359,0.9899604,0.9825,0.9992,0.9819,0.9855,0,0.9927,0.9971664,0.9894,0.9858,0.9859359,0.9913266,0.9940655,0.9989,0.9889192,0.9915301,0.9854,0.9846,0.9934077,0.985,0.5,0.5,0.5,0.5
analcatdata_vineyard.arff,0.8818,0.8694277,0.6166302,0.8805815,0.883,0.8858,0.9005,0.879,0,0.8237,0.8689789,0.7864,0.865,0.7492951,0.9143863,0.8469415,0.9471,0.8746932,0.8469415,0.8912,0.7433,0.8302975,0.7433,0.5,0.5,0.5730495,0.5
analcatdata_wildcat.arff,0.7629,0.8066288,0.7445456,0.800587,0.779,0.7496,0.6752,0.6603,0,0.7888,0.7731438,0.7948,0.8111,0.600303,0.7737688,0.7928976,0.8162,0.8277275,0.7618939,0.7903,0.5805,0.7597538,0.5552,0.5,0.5,0.660606,0.5
anneal.arff,0.9503,0.8726751,0.6188029,0.8862142,0.6253,0.9729,0.9802,0.8942,0,0.558,0.9061893,0.733,0.7229,0.62811,0.9267957,0.9576477,0.9898,0.9377358,0.9388415,0.9327,0.4901,0.577985,0.4937,0.5,0.5,0.5275868,0.5
AP_Breast_Kidney.arff,0.98,0.9801487,0.9629507,0.9718326,0.9682,0.9735,0.9314,0.946,0,0.9745,0.9934567,0.9808,0.9722,0.9653683,0.9573854,0.9874257,0.9921,0.9869651,0.9416127,0.9669,0.9677,0.9863962,0.9725,0.5,0.5,0.9642825,0.5
AP_Breast_Omentum.arff,0.9478,0.9650503,0.9084453,0.9488775,0.9511,0.925,0.8858,0.9124,0,0.94,0.979438,0.9732,0.9498,0.9162079,0.9386502,0.9733539,0.983,0.9832615,0.8988129,0.9246,0.9444,0.9855433,0.9523,0.5,0.5,0.9363198,0.5
AP_Breast_Prostate.arff,0.9855,0.9785714,0.9742015,0.9775209,0.9855,0.9883,0.9911,0.9696,0,0.9964,0.9918067,0.9994,0.9855,0.9842856,0.982773,0.9922269,0.9992,0.9989496,0.9515826,0.9812,0.9811,0.9995798,0.9841,0.5,0.5,0.9813866,0.5
AP_Colon_Kidney.arff,0.9906,0.9905504,0.9549166,0.9841889,0.9745,0.9882,0.9639,0.9572,0,0.9846,0.9977075,0.9867,0.9726,0.9552529,0.9679281,0.99627,0.9982,0.994991,0.9675256,0.964,0.9741,0.9982286,0.976,0.5,0.5,0.9685723,0.5
AP_Colon_Omentum.arff,0.9465,0.9671953,0.8990148,0.9134392,0.9265,0.9037,0.933,0.9193,0,0.876,0.974084,0.9521,0.9223,0.8987071,0.8906712,0.9776861,0.9863,0.9743688,0.890856,0.899,0.9093,0.9621768,0.8981,0.5,0.5,0.9017397,0.5
AP_Colon_Ovary.arff,0.9736,0.9733708,0.922935,0.9765605,0.9482,0.9197,0.9096,0.9429,0,0.9399,0.9786846,0.9599,0.9483,0.9241788,0.9483921,0.9808107,0.9858,0.9833867,0.8992644,0.9246,0.9171,0.9770387,0.9341,0.5,0.5,0.9327328,0.5
AP_Colon_Prostate.arff,0.9765,0.9835034,0.9757184,0.9873299,0.9837,0.969,0.9604,0.9635,0,0.9748,0.9979592,0.9854,0.9837,0.9614327,0.9649425,0.9906961,0.9987,0.9750206,0.9437602,0.9625,0.9713,0.9955313,0.973,0.5,0.5,0.9782459,0.5
AP_Endometrium_Breast.arff,0.9638,0.9902381,0.9108263,0.9383332,0.9792,0.9619,0.8854,0.9203,0,0.9847,0.9834384,0.9877,0.9778,0.9191597,0.9389426,0.984888,0.9904,0.9810294,0.8851401,0.9101,0.9643,0.9932072,0.9725,0.5,0.5,0.9427731,0.5
AP_Endometrium_Lung.arff,0.9523,0.984745,0.9076464,0.9324482,0.955,0.9647,0.8361,0.8912,0,0.9532,0.9763583,0.966,0.9508,0.8355311,0.8750457,0.9889423,0.9867,0.9690705,0.8673534,0.9031,0.9598,0.9632784,0.9598,0.5,0.5,0.938141,0.5
AP_Endometrium_Prostate.arff,0.9928,1,0.9928571,0.9928571,0.9928,0.9928,0.9918,0.9918,0,0.9928,1,0.9998,0.9928,0.9928571,0.9845238,1,0.9995,1,0.9499998,0.9498,0.9928,0.9928571,0.9928,0.5,0.5,0.9761905,0.5
